DATE,USPRFRMSPRTMSMNGSP
1997-01-01,37156.0
1998-01-01,40614.0
1999-01-01,44509.0
2000-01-01,49295.0
2001-01-01,51812.0
2002-01-01,56935.0
2003-01-01,61956.0
2004-01-01,65072.0
2005-01-01,67060.0
2006-01-01,73485.0
2007-01-01,75604.0
2008-01-01,81499.0
2009-01-01,84806.0
2010-01-01,87859.0
2011-01-01,93006.0
2012-01-01,101755.0
2013-01-01,104198.0
2014-01-01,111596.0
2015-01-01,111486.0
2016-01-01,120037.0
2017-01-01,126803.0
2018-01-01,135797.0
2019-01-01,140509.0
2020-01-01,100189.0
2021-01-01,118088.0
2022-01-01,149305.0
2023-01-01,171243.0
