,DATE,UNRATE,FEDFUNDS,GDP,USPRFRMSPRTMSMNGSP
0,1948-01-01,3.4,,265.742,
1,1948-02-01,3.8,,,
2,1948-03-01,4.0,,,
3,1948-04-01,3.9,,272.567,
4,1948-05-01,3.5,,,
5,1948-06-01,3.6,,,
6,1948-07-01,3.6,,279.196,
7,1948-08-01,3.9,,,
8,1948-09-01,3.8,,,
9,1948-10-01,3.7,,280.366,
10,1948-11-01,3.8,,,
11,1948-12-01,4.0,,,
12,1949-01-01,4.3,,275.034,
13,1949-02-01,4.7,,,
14,1949-03-01,5.0,,,
15,1949-04-01,5.3,,271.351,
16,1949-05-01,6.1,,,
17,1949-06-01,6.2,,,
18,1949-07-01,6.7,,272.889,
19,1949-08-01,6.8,,,
20,1949-09-01,6.6,,,
21,1949-10-01,7.9,,270.627,
22,1949-11-01,6.4,,,
23,1949-12-01,6.6,,,
24,1950-01-01,6.5,,280.828,
25,1950-02-01,6.4,,,
26,1950-03-01,6.3,,,
27,1950-04-01,5.8,,290.383,
28,1950-05-01,5.5,,,
29,1950-06-01,5.4,,,
30,1950-07-01,5.0,,308.153,
31,1950-08-01,4.5,,,
32,1950-09-01,4.4,,,
33,1950-10-01,4.2,,319.945,
34,1950-11-01,4.2,,,
35,1950-12-01,4.3,,,
36,1951-01-01,3.7,,336.0,
37,1951-02-01,3.4,,,
38,1951-03-01,3.4,,,
39,1951-04-01,3.1,,344.09,
40,1951-05-01,3.0,,,
41,1951-06-01,3.2,,,
42,1951-07-01,3.1,,351.385,
43,1951-08-01,3.1,,,
44,1951-09-01,3.3,,,
45,1951-10-01,3.5,,356.178,
46,1951-11-01,3.5,,,
47,1951-12-01,3.1,,,
48,1952-01-01,3.2,,359.82,
49,1952-02-01,3.1,,,
50,1952-03-01,2.9,,,
51,1952-04-01,2.9,,361.03,
52,1952-05-01,3.0,,,
53,1952-06-01,3.0,,,
54,1952-07-01,3.2,,367.701,
55,1952-08-01,3.4,,,
56,1952-09-01,3.1,,,
57,1952-10-01,3.0,,380.812,
58,1952-11-01,2.8,,,
59,1952-12-01,2.7,,,
60,1953-01-01,2.9,,387.98,
61,1953-02-01,2.6,,,
62,1953-03-01,2.6,,,
63,1953-04-01,2.7,,391.749,
64,1953-05-01,2.5,,,
65,1953-06-01,2.5,,,
66,1953-07-01,2.6,,391.171,
67,1953-08-01,2.7,,,
68,1953-09-01,2.9,,,
69,1953-10-01,3.1,,385.97,
70,1953-11-01,3.5,,,
71,1953-12-01,4.5,,,
72,1954-01-01,4.9,,385.345,
73,1954-02-01,5.2,,,
74,1954-03-01,5.7,,,
75,1954-04-01,5.9,,386.121,
76,1954-05-01,5.9,,,
77,1954-06-01,5.6,,,
78,1954-07-01,5.8,0.8,390.996,
79,1954-08-01,6.0,1.22,,
80,1954-09-01,6.1,1.07,,
81,1954-10-01,5.7,0.85,399.734,
82,1954-11-01,5.3,0.83,,
83,1954-12-01,5.0,1.28,,
84,1955-01-01,4.9,1.39,413.073,
85,1955-02-01,4.7,1.29,,
86,1955-03-01,4.6,1.35,,
87,1955-04-01,4.7,1.43,421.532,
88,1955-05-01,4.3,1.43,,
89,1955-06-01,4.2,1.64,,
90,1955-07-01,4.0,1.68,430.221,
91,1955-08-01,4.2,1.96,,
92,1955-09-01,4.1,2.18,,
93,1955-10-01,4.3,2.24,437.092,
94,1955-11-01,4.2,2.35,,
95,1955-12-01,4.2,2.48,,
96,1956-01-01,4.0,2.45,439.746,
97,1956-02-01,3.9,2.5,,
98,1956-03-01,4.2,2.5,,
99,1956-04-01,4.0,2.62,446.01,
100,1956-05-01,4.3,2.75,,
101,1956-06-01,4.3,2.71,,
