Date updated:,1-Jan-24,,,,,,,,,,,,,,,,,,,,,,,
Created by:,"Aswath Damodaran, adamodar@stern.nyu.edu",,,,,,,,,,,,,,,,,,,,,,,
What is this data?,"Historical returns: Stocks, Bonds & T.Bills with premiums",,,,,,In US Dollars,,,,,,,,,,,,,,,,,
Home Page:,http://www.damodaran.com,,,,,,,,,,,,,,,,,,,,,,,
Data website:,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/data.html,,,,,,,,,,,,,,,,,,,,,,,
Companies in each industry:,https://pages.stern.nyu.edu/~adamodar/pc/datasets/indname.xls,,,,,,,,,,,,,,,,,,,,,,,
Variable definitions:,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/variable.htm,,,,,,,,,,,,,,,,,,,,,,,
Customized Geometric risk premium estimator,,,,,,,,,,,,,,,,,,,,,,,,
What is your riskfree rate?,,LT,,,,,"Estimates of risk premiums from 1928, over the last 50 years and over the last 10 years",,,,,,,,,,,,,,,,,
Enter your starting year,,2000,,,,,are provided at the bottom of this table.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Value of stocks in starting year:,,," $156,658.05 ",,,,,,,,,,,,,,,,,,,,,
Value of T.Bills in starting year:,,," $1,516.05 ",,,,,,,,,,,,,,,,,,,,,
Value of T.bonds in starting year:,,," $2,912.88 ",,,,,,,,,,,,,,,,,,,,,
Value of Real estate in starting year,,," $1,705.10 ",,,,,,,,,,,,,,,,,,,,,
Value of Gold in starting year,,," $1,406.25 ",,,,,,,,,,,,,,,,,,,,,
Estimate of risk premium based on your inputs:,,,3.07%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Returns on Investments in,,,,,,Value of $100 invested at start of 1928 in,,,,,,Annual Risk Premium,,,,Annual Real Returns,,,,,,,
Year,S&P 500 (includes dividends),3-month T.Bill,US T. Bond (10-year), Baa Corporate Bond,Real Estate,Gold*,S&P 500 (includes dividends)3,3-month T.Bill4,US T. Bond5, Baa Corporate Bond2,Real Estate2,Gold2,Stocks - Bills,Stocks - Bonds,Stocks - Baa Corp Bond,Historical risk premium,Inflation Rate,S&P 500 (includes dividends)2,3-month T. Bill (Real),!0-year T.Bonds,Baa Corp Bonds,Real Estate3,Gold,
1928,0.44,3.08%,0.84%,3.22%,1.49%,0.10%, $143.81 , $103.08 , $100.84 , $103.22 , $101.49 , $100.10 ,40.73%,42.98%,40.59%,,-1.16%,45.49%,4.29%,2.01%,4.43%,2.68%,1.27%,
1929,-0.08,3.16%,4.20%,3.02%,-2.06%,-0.15%, $131.88 , $106.34 , $105.07 , $106.33 , $99.40 , $99.95 ,-11.46%,-12.50%,-11.32%,,0.58%,-8.83%,2.56%,3.60%,2.42%,-2.63%,-0.73%,
1930,-0.25,4.55%,4.54%,0.54%,-4.30%,0.10%, $98.75 , $111.18 , $109.85 , $106.91 , $95.13 , $100.05 ,-29.67%,-29.66%,-25.66%,,-6.40%,-20.01%,11.69%,11.68%,7.41%,2.24%,6.94%,
1931,-0.44,2.31%,-2.56%,-15.68%,-8.15%,-17.38%, $55.46 , $113.74 , $107.03 , $90.14 , $87.38 , $82.66 ,-46.15%,-41.28%,-28.16%,,-9.32%,-38.07%,12.82%,7.45%,-7.02%,1.29%,-8.90%,
1932,-0.09,1.07%,8.79%,23.59%,-10.47%,21.28%, $50.66 , $114.96 , $116.44 , $111.41 , $78.23 , $100.24 ,-9.71%,-17.43%,-32.23%,,-10.27%,1.82%,12.64%,21.25%,37.74%,-0.21%,35.16%,
1933,0.50,0.96%,1.86%,12.97%,-3.81%,27.26%, $75.99 , $116.06 , $118.60 , $125.86 , $75.25 , $127.57 ,49.02%,48.13%,37.02%,,0.76%,48.85%,0.20%,1.08%,12.11%,-4.54%,26.30%,
1934,-0.01,0.28%,7.96%,18.82%,2.91%,31.75%, $75.09 , $116.39 , $128.05 , $149.54 , $77.44 , $168.07 ,-1.47%,-9.15%,-20.00%,,1.52%,-2.66%,-1.22%,6.35%,17.04%,1.37%,29.78%,
1935,0.47,0.17%,4.47%,13.31%,9.77%,0.43%, $110.18 , $116.58 , $133.78 , $169.44 , $85.00 , $168.80 ,46.57%,42.27%,33.43%,,2.99%,42.49%,-2.74%,1.44%,10.02%,6.58%,-2.48%,
1936,0.32,0.17%,5.02%,11.38%,3.22%,0.09%, $145.38 , $116.78 , $140.49 , $188.73 , $87.73 , $168.94 ,31.77%,26.93%,20.56%,,1.45%,30.06%,-1.26%,3.52%,9.79%,1.74%,-1.34%,
1937,-0.35,0.28%,1.38%,-4.42%,2.56%,-0.23%, $94.00 , $117.11 , $142.43 , $180.39 , $89.98 , $168.56 ,-35.61%,-36.72%,-30.92%,,2.86%,-37.13%,-2.51%,-1.44%,-7.07%,-0.29%,-3.00%,
1938,0.29,0.07%,4.21%,9.24%,-0.87%,0.17%, $121.53 , $117.18 , $148.43 , $197.05 , $89.20 , $168.85 ,29.22%,25.07%,20.05%,,-2.78%,32.98%,2.92%,7.19%,12.36%,1.96%,3.03%,
1939,-0.01,0.05%,4.41%,7.98%,-1.30%,-1.23%, $120.20 , $117.24 , $154.98 , $212.78 , $88.04 , $166.76 ,-1.14%,-5.51%,-9.08%,,0.00%,-1.10%,0.05%,4.41%,7.98%,-1.30%,-1.23%,
1940,-0.11,0.04%,5.40%,8.65%,3.31%,-1.66%, $107.37 , $117.28 , $163.35 , $231.18 , $90.95 , $164.00 ,-10.71%,-16.08%,-19.32%,,0.71%,-11.31%,-0.67%,4.65%,7.88%,2.57%,-2.35%,
1941,-0.13,0.13%,-2.02%,5.01%,-8.38%,0.00%, $93.66 , $117.43 , $160.04 , $242.76 , $83.32 , $164.00 ,-12.90%,-10.75%,-17.78%,,9.93%,-20.65%,-8.91%,-10.87%,-4.48%,-16.66%,-9.03%,
1942,0.19,0.34%,2.29%,5.18%,3.33%,0.00%, $111.61 , $117.83 , $163.72 , $255.33 , $86.10 , $164.00 ,18.83%,16.88%,13.99%,,9.03%,9.30%,-7.97%,-6.18%,-3.53%,-5.23%,-8.28%,
1943,0.25,0.38%,2.49%,8.04%,11.45%,0.00%, $139.59 , $118.28 , $167.79 , $275.88 , $95.95 , $164.00 ,24.68%,22.57%,17.02%,,2.96%,21.47%,-2.50%,-0.46%,4.94%,8.24%,-2.87%,
1944,0.19,0.38%,2.58%,6.57%,16.58%,0.00%, $166.15 , $118.73 , $172.12 , $293.99 , $111.87 , $164.00 ,18.65%,16.45%,12.46%,,2.30%,16.36%,-1.88%,0.27%,4.17%,13.96%,-2.25%,
1945,0.36,0.38%,3.80%,6.80%,11.78%,2.54%, $225.67 , $119.18 , $178.67 , $313.98 , $125.04 , $168.17 ,35.44%,32.02%,29.02%,,2.25%,32.84%,-1.83%,1.52%,4.45%,9.32%,0.29%,
1946,-0.08,0.38%,3.13%,2.51%,24.10%,0.00%, $206.65 , $119.63 , $184.26 , $321.85 , $155.18 , $168.17 ,-8.81%,-11.56%,-10.94%,,18.13%,-22.48%,-15.03%,-12.70%,-13.23%,5.05%,-15.35%,
1947,0.05,0.60%,0.92%,0.26%,21.26%,0.00%, $217.39 , $120.35 , $185.95 , $322.70 , $188.17 , $168.17 ,4.60%,4.28%,4.94%,,8.84%,-3.34%,-7.57%,-7.27%,-7.88%,11.42%,-8.12%,
1948,0.06,1.05%,1.95%,3.44%,2.06%,0.00%, $229.79 , $121.61 , $189.58 , $333.79 , $192.05 , $168.17 ,4.66%,3.75%,2.27%,,2.73%,2.89%,-1.64%,-0.76%,0.68%,-0.66%,-2.66%,
1949,0.18,1.12%,4.66%,5.38%,0.09%,-8.70%, $271.85 , $122.96 , $198.42 , $351.74 , $192.22 , $153.54 ,17.19%,13.64%,12.93%,,-1.83%,20.51%,3.00%,6.61%,7.34%,1.95%,-7.00%,
1950,0.31,1.20%,0.43%,4.24%,3.64%,9.56%, $355.60 , $124.44 , $199.27 , $366.65 , $199.22 , $168.22 ,29.60%,30.38%,26.57%,,5.80%,23.63%,-4.35%,-5.08%,-1.48%,-2.04%,3.55%,
1951,0.24,1.52%,-0.30%,-0.19%,6.05%,0.00%, $439.80 , $126.33 , $198.68 , $365.95 , $211.26 , $168.22 ,22.16%,23.97%,23.87%,,5.96%,16.72%,-4.20%,-5.91%,-5.81%,0.08%,-5.63%,
