Year,Rank,Artist,Song,valence,danceability,energy,tempo
1960,1,percy faith,theme from a summer place,,,,
1960,3,everly brothers,cathys clown,,,,
1960,4,johnny preston,running bear,,,,
1960,5,mark dinning,teen angel,,,,
1960,8,jimmy jones,handy man,,,,
1960,12,bobby rydell,wild one,,,,
1960,13,brothers four,greenfields,,,,
1960,14,jack scott,what in the worlds come over you,,,,
1960,16,hollywood argyles,alleyoop,,,,
1960,21,dion and the belmonts,where or when,,,,
1960,22,connie stevens,sixteen reasons,,,,
1960,25,ventures,walk dont run,,,,
1960,26,drifters,save the last dance for me,,,,
1960,27,brook benton and dinah washington,baby,,,,
1960,30,everly brothers,let it be me,,,,
1960,31,jimmy jones,good timin,,,,
1960,33,jimmy clanton,go jimmy go,,,,
1960,34,jackie wilson,night,,,,
1960,35,jack scott,burning bridges,,,,
1960,36,toni fisher,the big hurt,,,,
1960,37,duane eddy,because theyre young,,,,
1960,40,freddie cannon,way down yonder in new orleans,,,,
1960,41,anita bryant,paper roses,,,,
1960,42,larry verne,mr custer,,,,
1960,44,fendermen,mule skinner blues,,,,
1960,45,johnny preston,cradle of love,,,,
1960,46,marv johnson,youve got what it takes,,,,
1960,48,ron holden,love you so,,,,
1960,49,hank ballard and the midnighters,finger poppin time,,,,
1960,50,platters,harbor lights,,,,
1960,51,billy bland,let the little girl dance,,,,
1960,52,jeanne black,hell have to stay,,,,
1960,53,ferrante and teicher,theme from the apartment,,,,
1960,54,bobby rydell,volare,,,,
1960,55,jimmy charles,a million to one,,,,
1960,56,andy williams,the village of st bernadette,,,,
1960,57,the browns,the old lamplighter,,,,
1960,58,bill blacks combo,white silver sands,,,,
1960,60,four preps,down by the station,,,,
1960,61,little dippers,forever,,,,
1960,62,safaris and the phantoms band,image of a girl,,,,
1960,63,brook benton,kiddio,,,,
1960,64,donnie brooks,mission bell,,,,
1960,65,marv johnson,i love the way you love,,,,
1960,70,everly brothers,so sad,,,,
1960,74,bobby rydell,swingin school,,,,
1960,75,dinah washington and brook benton,a rockin good way,,,,
1960,77,paul anka,my home town,,,,
1960,78,ray charles,georgia on my mind,,,,
1960,79,skip and flip,cherry pie,,,,
1960,81,spencer ross,tracys theme,,,,
1960,82,lloyd price,lady luck,,,,
1960,83,crests,step by step,,,,
1960,84,paul evans,happygolucky me,,,,
1960,85,ricky nelson,young emotions,,,,
1960,88,annette,o dio mio,,,,
1960,89,joe jones,you talk too much,,,,
1960,90,johnny and the hurricanes,beatnik fly,,,,
1960,91,everly brothers,when will i be loved,,,,
1960,92,bob luman,lets think about livin,,,,
1960,94,anita bryant,in my little corner of the world,,,,
1960,96,bobby rydell,little bitty girl,,,,
1960,97,barret strong,money,,,,
1960,98,maurice williams,stay,,,,
1960,100,larry hall,sandy,,,,
1961,2,patsy cline,i fall to pieces,,,,
1961,3,highwaymen,michael,,,,
1961,4,roy orbison,cryin,,,,
1961,6,jive five,my true story,,,,
1961,8,stringalongs,wheels,,,,
1961,10,joe dowell,wooden heart,,,,
1961,11,lawrence welk,calcutta,,,,
1961,15,markeys,last night,,,,
1961,16,shirelles,tomorrow,,,,
1961,17,ferrante and teicher,exodus,,,,
1961,19,ray charles,hit the road jack,,,,
1961,21,ernie kdoe,motherinlaw,,,,
1961,22,dovells,bristol stomp,,,,
1961,24,miracles,shop around,,,,
1961,25,brook benton,the boll weevil song,,,,
1961,27,dick and deedee,the mountains high,,,,
1961,30,steve lawrence,portrait op my love,,,,
1961,31,gary,quarter to three,,,,
1961,32,barry mann,who put the bomp,,,,
1961,35,jrgen ingmann,apache,,,,
1961,36,linda scott,dont bet money honey,,,,
1961,37,johnny tillotson,without you,,,,
1961,40,marcels,blue moon,,,,
1961,41,shep and the limelites,daddys home,,,,
1961,43,clarence frog man henry,i dont know why but i do,,,,
1961,44,kokomo,asia minor,,,,
1961,50,capris,theres a moon out tonight,,,,
1961,52,paris sisters,i love how you love me,,,,
1961,54,gary,school is out,,,,
1961,55,bob moore,mexico,,,,
1961,56,ral donner,you dont know what youve got,,,,
1961,57,everly brothers,walk right back,,,,
1961,58,lettermen,the way you look tonight,,,,
1961,60,ray charles,one mint julep,,,,
1961,61,adam wade,take good care of her,,,,
1961,62,carla thomas,gee whiz,,,,
1961,65,ike and tina turner,its gonna work out fine,,,,
1961,66,echoes,baby blue,,,,
1961,67,buzz clifford,baby sittin boogie,,,,
1961,69,caesar and the romans,those oldies but goodies,,,,
1961,72,bert kaempfert and his orch,wonderland by night,,,,
1961,73,tony orlando,bless you,,,,
1961,74,linda scott,ive told every little star,,,,
1961,76,rosie and the originals,angel baby,,,,
1961,77,curtis lee,pretty little angel eyes,,,,
1961,78,brook benton,think twice,,,,
1961,79,lonnie donegan,does your chewing gum lose its flavor,,,,
1961,81,shirelles,mama said,,,,
1961,82,fats domino,let the four winds blow,,,,
1961,83,adam wade,the writing on the wall,,,,
1961,84,matt monroe,my kind of girl,,,,
1961,85,paul anka,tonight my love tonight,,,,
1961,87,bobby rydell,good time baby,,,,
1961,90,ray peterson,missing you,,,,
1961,92,eddie hodges,im gonna knock on your door,,,,
1961,98,four preps,more money for you and me medley,,,,
1961,99,bobby darin,you must have been a beautiful baby,,,,
1961,100,drifters,please stay,,,,
1962,1,mr acker bilk,stranger on the shore,,,,
1962,5,david rose,the stripper,,,,
1962,6,shelley fabares,johnny angel,,,,
1962,8,sensations,let me in,,,,
1962,10,shirelles,soldier boy,,,,
1962,11,bruce channel,hey baby,,,,
1962,14,freddy cannon,palisades park,,,,
1962,18,johnny tillotson,it keeps right on ahurtin,,,,
1962,21,kenny ball,midnight in moscow,,,,
1962,24,orlons,wahwatusi,,,,
1962,25,joey dee and the starlighters,peppermint twist,,,,
1962,27,marvelettes,playboy,,,,
1962,30,jay and the americans,she cried,,,,
1962,32,gary us bonds,dear lady twist,,,,
1962,34,ketty lester,love letters,,,,
1962,35,claudine clark,party lights,,,,
1962,36,highwaymen,cotton fields,,,,
1962,37,bent fabric,alley cat,,,,
1962,40,ace cannon,tuff,,,,
1962,41,clyde mcphatter,lover please,,,,
1962,42,barbara george,i know,,,,
1962,43,rick nelson,young world,,,,
1962,44,shirelles,baby its you,,,,
1962,46,burl ives,a little bitty tear,,,,
1962,47,everly brothers,crying in the rain,,,,
1962,48,emillo pericoli,al di la,,,,
1962,50,don and juan,whats your name,,,,
1962,51,corsairs,smoky places,,,,
1962,53,booker t and the mgs,green onions,,,,
1962,54,ray charles,you dont know me,,,,
1962,55,four seasons,sherry,,,,
1962,58,joey dee,shout,,,,
1962,63,gene pitney,the man who shot liberty valance,,,,
