Year,Rank,Artist,Song,valence,danceability,energy,tempo
1960,4,johnny preston,running bear,,,,
1960,5,mark dinning,teen angel,0.33,0.447,0.182,95.094
1960,8,jimmy jones,handy man,0.852,0.505,0.683,146.71
1960,12,bobby rydell,wild one,0.913,0.613,0.737,147.902
1960,13,brothers four,greenfields,0.379,0.457,0.181,109.979
1960,14,jack scott,what in the worlds come over you,0.486,0.499,0.211,76.74
1960,16,hollywood argyles,alleyoop,,,,
1960,22,connie stevens,sixteen reasons,0.661,0.311,0.389,72.558
1960,25,ventures,walk dont run,0.96,0.423,0.88,155.968
1960,26,drifters,save the last dance for me,0.896,0.54,0.53,143.453
1960,27,brook benton  dinah washington,baby,,,,
1960,31,jimmy jones,good timin,0.96,0.599,0.589,145.171
1960,33,jimmy clanton,go jimmy go,0.875,0.502,0.731,137.36
1960,34,jackie wilson,night,0.325,0.222,0.383,101.473
1960,35,jack scott,burning bridges,0.255,0.448,0.288,82.656
1960,36,toni fisher,the big hurt,0.284,0.511,0.524,127.444
1960,37,duane eddy,because theyre young,0.965,0.678,0.777,120.568
1960,40,freddie cannon,way down yonder in new orleans,,,,
1960,41,anita bryant,paper roses,0.275,0.274,0.237,116.018
1960,42,larry verne,mr custer,0.0613,0.83,0.228,107.862
1960,44,fendermen,mule skinner blues,0.683,0.519,0.494,127.716
1960,45,johnny preston,cradle of love,0.804,0.593,0.589,87.703
1960,46,marv johnson,youve got what it takes,0.964,0.671,0.635,136.727
1960,48,ron holden,love you so,0.56,0.446,0.399,88.805
1960,49,hank ballard  midnighters,finger poppin time,0.686,0.491,0.591,78.009
1960,50,platters,harbor lights,0.244,0.246,0.283,83.178
1960,51,billy bland,let the little girl dance,0.965,0.585,0.527,143.418
1960,52,jeanne black,hell have to stay,0.36,0.45,0.0843,81.869
1960,53,ferrante  teicher,theme from the apartment,,,,
1960,54,bobby rydell,volare,0.863,0.506,0.661,129.615
1960,55,jimmy charles,a million to one,0.423,0.394,0.317,102.738
1960,56,andy williams,the village of st bernadette,0.24,0.278,0.198,86.667
1960,57,browns,the old lamplighter,0.553,0.604,0.105,92.238
1960,58,bill blacks combo,white silver sands,0.963,0.868,0.481,116.66
1960,60,four preps,down by the station,0.971,0.754,0.442,118.641
1960,61,little dippers,forever,0.367,0.504,0.286,74.219
1960,62,safaris  phantoms band,image of a girl,,,,
1960,63,brook benton,kiddio,0.713,0.796,0.258,112.356
1960,64,donnie brooks,mission bell,0.853,0.588,0.504,80.27
1960,65,marv johnson,i love the way you love,0.897,0.742,0.778,134.807
1960,74,bobby rydell,swingin school,0.967,0.528,0.756,150.364
1960,75,dinah washington  brook benton,a rockin good way,,,,
1960,77,paul anka,my home town,0.97,0.698,0.512,117.453
1960,78,ray charles,georgia on my mind,0.255,0.282,0.247,112.146
1960,79,skip  flip,cherry pie,0.475,0.469,0.255,86.039
1960,81,spencer ross,tracys theme,,,,
1960,82,lloyd price,lady luck,0.822,0.566,0.742,122.893
1960,83,crests,step by step,0.896,0.283,0.7,200.632
1960,84,paul evans,happygolucky me,,,,
1960,85,ricky nelson,young emotions,,,,
1960,88,annette,o dio mio,,,,
1960,89,joe jones,you talk too much,0.727,0.719,0.639,128.272
1960,90,johnny  hurricanes,beatnik fly,,,,
1960,91,everly brothers,when will i be loved,0.812,0.521,0.712,118.029
1960,92,bob luman,lets think about livin,,,,
1960,94,anita bryant,in my little corner of the world,0.404,0.483,0.321,107.728
1960,96,bobby rydell,little bitty girl,0.82,0.623,0.619,121.284
1960,97,barret strong,money,,,,
1960,98,maurice williams,stay,,,,
1960,100,larry hall,sandy,0.628,0.359,0.414,158.741
1961,2,patsy cline,i fall to pieces,,,,
1961,3,highwaymen,michael,0.631,0.525,0.121,107.408
1961,4,roy orbison,cryin,,,,
1961,6,jive five,my true story,0.623,0.354,0.437,184.518
1961,8,stringalongs,wheels,0.869,0.787,0.623,128.327
1961,10,joe dowell,wooden heart,0.858,0.595,0.174,83.015
1961,11,lawrence welk,calcutta,0.884,0.376,0.629,81.677
1961,15,markeys,last night,0.827,0.698,0.585,126.394
1961,16,shirelles,tomorrow,,,,
1961,17,ferrante  teicher,exodus,,,,
1961,19,ray charles,hit the road jack,0.945,0.606,0.661,172.897
1961,21,ernie kdoe,motherinlaw,,,,
1961,22,dovells,bristol stomp,0.9,0.655,0.77,105.394
1961,24,miracles,shop around,0.896,0.556,0.701,132.172
1961,25,brook benton,the boll weevil song,0.911,0.795,0.144,139.888
1961,27,dick  deedee,the mountains high,,,,
1961,30,steve lawrence,portrait op my love,,,,
1961,31,gary,quarter to three,,,,
1961,32,barry mann,who put the bomp,0.841,0.512,0.667,86.13
1961,35,jrgen ingmann,apache,0.248,0.644,0.492,129.089
1961,36,linda scott,dont bet money honey,0.649,0.248,0.836,201.17
1961,37,johnny tillotson,without you,0.753,0.297,0.58,198.691
1961,40,marcels,blue moon,0.935,0.624,0.432,127.69
