Year,Rank,Artist,Song,valence,danceability,energy,tempo
1960,1,percy faith,theme from a summer place,0.913,0.325,0.412,186.72
1960,2,jim reeves,hell have to go,0.1905,0.5329999999999999,0.2435,81.068
1960,3,everly brothers,cathys clown,0.866,0.498,0.5820000000000001,119.809
1960,4,johnny preston,running bear,,,,
1960,5,mark dinning,teen angel,,,,
1960,6,brenda lee,im sorry,0.303,0.5579999999999999,0.223,101.711
1960,7,elvis presley,its now or never,0.7705,0.6365000000000001,0.474,126.2915
1960,8,jimmy jones,handy man,,,,
1960,9,elvis presley,stuck on you,0.955,0.647,0.513,131.641
1960,10,chubby checker,the twist,0.9545,0.5289999999999999,0.738,155.8465
1960,11,connie francis,everybodys somebodys fool,0.847,0.5820000000000001,0.591,84.20100000000002
1960,12,bobby rydell,wild one,,,,
1960,13,brothers four,greenfields,,,,
1960,14,jack scott,what in the worlds come over you,,,,
1960,15,marty robbins,el paso,0.72,0.598,0.5345,105.8695
1960,16,hollywood argyles,alleyoop,,,,
1960,17,connie francis,my heart has a mind of its own,0.731,0.3229999999999999,0.478,109.405
1960,18,brenda lee,sweet nothins,0.961,0.778,0.413,125.235
1960,19,brian hyland,itsy bitsy teenie weenie yellow polkadot bikini,0.967,0.8029999999999999,0.402,122.142
1960,20,roy orbison,only the lonely,0.934,0.57,0.529,123.273
1960,21,dion  the belmonts,where or when,0.393,0.449,0.395,110.501
1960,22,connie stevens,sixteen reasons,,,,
1960,23,paul anka,puppy love,0.518,0.431,0.321,103.164
1960,24,frankie avalon,why,0.546,0.357,0.228,92.893
1960,25,ventures,walk dont run,,,,
1960,26,drifters,save the last dance for me,,,,
1960,27,brook benton  dinah washington,baby,,,,
1960,28,johnny horton,sink the bismark,0.9644999999999999,0.679,0.5555,115.333
1960,29,sam cooke,chain gang,0.931,0.701,0.7240000000000001,131.821
1960,30,everly brothers,let it be me,0.305,0.471,0.19,72.764
1960,31,jimmy jones,good timin,,,,
1960,32,bobby darin,beyond the sea,0.569,0.521,0.516,136.483
1960,33,jimmy clanton,go jimmy go,,,,
1960,34,jackie wilson,night,,,,
1960,35,jack scott,burning bridges,,,,
1960,36,toni fisher,the big hurt,,,,
1960,37,duane eddy,because theyre young,,,,
1960,38,conway twitty,lonely blue boy,0.677,0.659,0.342,112.878
1960,39,steve lawrence,pretty blue eyes,0.8640000000000001,0.477,0.507,126.419
1960,40,freddie cannon,way down yonder in new orleans,,,,
1960,41,anita bryant,paper roses,,,,
1960,42,larry verne,mr custer,,,,
1960,43,brenda lee,i want to be wanted,0.392,0.515,0.412,107.61
1960,44,fendermen,mule skinner blues,,,,
1960,45,johnny preston,cradle of love,,,,
1960,46,marv johnson,youve got what it takes,,,,
1960,47,hank locklin,please help me im falling,0.5529999999999999,0.552,0.336,105.479
1960,48,ron holden,love you so,,,,
1960,49,hank ballard  the midnighters,finger poppin time,,,,
1960,50,platters,harbor lights,,,,
1960,51,billy bland,let the little girl dance,,,,
1960,52,jeanne black,hell have to stay,,,,
1960,53,ferrante  teicher,theme from the apartment,,,,
1960,54,bobby rydell,volare,,,,
1960,55,jimmy charles,a million to one,,,,
1960,56,andy williams,the village of st bernadette,,,,
1960,57,the browns,the old lamplighter,,,,
1960,58,bill blacks combo,white silver sands,,,,
1960,59,bobby vee,devil or angel,0.615,0.389,0.266,102.833
1960,60,four preps,down by the station,,,,
1960,61,little dippers,forever,,,,
1960,62,safaris  the phantoms band,image of a girl,,,,
1960,63,brook benton,kiddio,,,,
1960,64,donnie brooks,mission bell,,,,
1960,65,marv johnson,i love the way you love,,,,
1960,66,paul anka,its time to cry,0.565,0.311,0.314,109.983
1960,67,ray peterson,tell laura i love her,0.297,0.528,0.394,102.898
1960,68,connie francis,mama,0.112,0.271,0.208,87.551
1960,69,steve lawrence,footsteps,0.913,0.6409999999999999,0.468,144.387
1960,70,everly brothers,so sad,0.3965,0.5115000000000001,0.197,102.3765
1960,71,brenda lee,thats all you gotta do,0.956,0.405,0.57,195.855
1960,72,fats domino,walking to new orleans,0.743,0.5820000000000001,0.289,80.75
1960,73,connie francis,among my souvenirs,0.524,0.474,0.347,108.945
1960,74,bobby rydell,swingin school,,,,
1960,75,dinah washington  brook benton,a rockin good way,,,,
1960,76,neil sedaka,stairway to heaven,0.926,0.515,0.8740000000000001,127.039
1960,77,paul anka,my home town,,,,
1960,78,ray charles,georgia on my mind,,,,
1960,79,skip  flip,cherry pie,,,,
1960,80,sam cooke,wonderful world,0.885,0.691,0.507,128.518
1960,81,spencer ross,tracys theme,,,,
1960,82,lloyd price,lady luck,,,,
1960,83,crests,step by step,,,,
1960,84,paul evans,happygolucky me,,,,
1960,85,ricky nelson,young emotions,,,,
1960,86,johnny burnette,dreamin,0.738,0.4645,0.46099999999999997,111.5555
1960,87,johnny tillotson,poetry in motion,0.888,0.486,0.693,135.184
1960,88,annette,o dio mio,,,,
1960,89,joe jones,you talk too much,,,,
1960,90,johnny  the hurricanes,beatnik fly,,,,
1960,91,everly brothers,when will i be loved,,,,
1960,92,bob luman,lets think about livin,,,,
1960,93,guy mitchell,heartaches by the number,0.8420000000000001,0.584,0.589,172.484
1960,94,anita bryant,in my little corner of the world,,,,
1960,95,jackie wilson,doggin around,0.383,0.568,0.3670000000000001,94.096
1960,96,bobby rydell,little bitty girl,,,,
1960,97,barret strong,money,,,,
1960,98,maurice williams,stay,,,,
1960,99,charlie rich,lonely weekends,0.547,0.413,0.8170000000000001,183.421
1960,100,larry hall,sandy,,,,
1961,1,bobby lewis,tossin and turnin,0.9635,0.565,0.7295,142.3835
1961,2,patsy cline,i fall to pieces,,,,
1961,3,highwaymen,michael,,,,
1961,4,roy orbison,cryin,,,,
1961,5,del shannon,runaway,0.741,0.529,0.539,78.55199999999998
1961,6,jive five,my true story,,,,
1961,7,chubby checker,pony time,0.9535,0.481,0.6555,115.96549999999999
1961,8,stringalongs,wheels,,,,
1961,9,dee clark,raindrops,0.563,0.381,0.7190000000000001,114.086
1961,10,joe dowell,wooden heart,,,,
1961,11,lawrence welk,calcutta,,,,
1961,12,bobby vee,take good care of my baby,0.6145,0.493,0.4305,82.82850000000002
1961,13,roy orbison,running scared,0.381,0.5720000000000001,0.392,128.255
1961,14,the shirelles,dedicated to the one i love,0.479,0.3905,0.3105,80.47999999999999
1961,15,markeys,last night,,,,
1961,16,shirelles,tomorrow,,,,
1961,17,ferrante  teicher,exodus,,,,
1961,18,connie francis,where the boys are,0.39749999999999996,0.4105,0.358,109.0325
1961,19,ray charles,hit the road jack,,,,
1961,20,sue thompson,sad movies,0.5539999999999999,0.605,0.264,107.172
1961,21,ernie kdoe,motherinlaw,,,,
1961,22,dovells,bristol stomp,,,,
1961,23,ricky nelson,travelin man,0.8640000000000001,0.638,0.485,122.876
1961,24,miracles,shop around,,,,
1961,25,brook benton,the boll weevil song,,,,
1961,26,gene mcdaniels,a hundred pounds of clay,0.8240000000000001,0.684,0.389,129.06
1961,27,dick  deedee,the mountains high,,,,
1961,28,marty robbins,dont worry,0.444,0.514,0.256,99.585
1961,29,floyd cramer,on the rebound,0.912,0.535,0.6829999999999999,150.74200000000005
1961,30,steve lawrence,portrait op my love,,,,
1961,31,gary,quarter to three,,,,
1961,32,barry mann,who put the bomp,,,,
1961,33,neil sedaka,calendar girl,0.8685,0.6799999999999999,0.581,122.4105
1961,34,chris kenner,i like it like that,0.777,0.589,0.568,144.566
1961,35,jrgen ingmann,apache,,,,
1961,36,linda scott,dont bet money honey,,,,
1961,37,johnny tillotson,without you,,,,
1961,38,ferlin husky,wings of a dove,0.888,0.498,0.555,184.891
1961,39,elvis presley,little sister,0.902,0.602,0.619,139.6
1961,40,marcels,blue moon,,,,
1961,41,shep  the limelites,daddys home,,,,
1961,42,troy shondell,this time,0.43,0.407,0.366,81.898
1961,43,clarence frog man henry,i dont know why but i do,,,,
1961,44,kokomo,asia minor,,,,
1961,45,faron young,hello walls,0.7949999999999999,0.636,0.4185,110.4325
1961,46,dion,runaround sue,0.598,0.364,0.607,79.987
1961,47,arthur lyman,yellow bird,0.7385,0.562,0.0558,119.81700000000001
1961,48,timi yuro,hurt,0.222,0.493,0.244,87.044
1961,49,ricky nelson,hello mary lou,0.964,0.5589999999999999,0.78,98.661
1961,50,capris,theres a moon out tonight,,,,
1961,51,elvis presley,surrender,0.7490000000000001,0.38,0.638,79.125
1961,52,paris sisters,i love how you love me,,,,
1961,53,lee dorsey,ya ya,0.942,0.777,0.646,140.749
1961,54,gary,school is out,,,,
1961,55,bob moore,mexico,,,,
1961,56,ral donner,you dont know what youve got,,,,
1961,57,everly brothers,walk right back,0.8575,0.6145,0.39549999999999996,135.2615
1961,58,lettermen,the way you look tonight,,,,
1961,59,pat boone,moody river,0.685,0.616,0.728,139.428
1961,60,ray charles,one mint julep,,,,
1961,61,adam wade,take good care of her,,,,
1961,62,carla thomas,gee whiz,,,,
1961,63,ben e king,stand by me,0.6569999999999999,0.652,0.2515,119.108
1961,64,ben e king,spanish harlem,0.789,0.608,0.594,125.166
1961,65,ike  tina turner,its gonna work out fine,0.936,0.69,0.69,108.037
1961,66,echoes,baby blue,,,,
1961,67,buzz clifford,baby sittin boogie,,,,
1961,68,del shannon,hats off to larry,0.635,0.44,0.7190000000000001,79.99
1961,69,caesar  the romans,those oldies but goodies,,,,
1961,70,chubby checker,the fly,0.841,0.395,0.934,160.662
1961,71,elvis presley,his latest flame,0.913,0.6365,0.8545,105.09649999999999
1961,72,bert kaempfert  his orch,wonderland by night,,,,
1961,73,tony orlando,bless you,,,,
1961,74,linda scott,ive told every little star,,,,
1961,75,bobby lewis,one track mind,0.971,0.606,0.564,145.083
1961,76,rosie  the originals,angel baby,0.368,0.4455,0.27349999999999997,147.2315
1961,77,curtis lee,pretty little angel eyes,,,,
1961,78,brook benton,think twice,,,,
1961,79,lonnie donegan,does your chewing gum lose its flavor,,,,
1961,80,connie francis,breakin in a brand new broken heart,0.255,0.33,0.166,103.425
1961,81,shirelles,mama said,,,,
1961,82,fats domino,let the four winds blow,,,,
1961,83,adam wade,the writing on the wall,,,,
1961,84,matt monroe,my kind of girl,,,,
